method,risk_budget,seed,episodes,success,fixture_correct,parameter_error,force_violation,damage,repeated_failure,path_efficiency,energy,calibration_brier,tail_risk
adaptive_probe_then_act,0.08,0,8,0.75000,0.87500,0.27522,0.12500,0.00000,0.25000,0.59179,2.14281,0.15051,0.25000
adaptive_probe_then_act,0.08,1,8,0.87500,1.00000,0.21111,0.00000,0.12500,0.00000,0.69904,1.96459,0.12317,0.12500
adaptive_probe_then_act,0.08,2,8,0.75000,1.00000,0.21179,0.00000,0.00000,0.25000,0.59882,2.05393,0.16921,0.25000
adaptive_probe_then_act,0.08,3,8,0.62500,1.00000,0.21511,0.12500,0.12500,0.25000,0.55196,2.10754,0.29943,0.37500
adaptive_probe_then_act,0.08,4,8,0.50000,1.00000,0.21211,0.00000,0.12500,0.50000,0.43159,2.02614,0.26329,0.50000
adaptive_probe_then_act,0.08,5,8,0.75000,0.87500,0.27453,0.12500,0.12500,0.25000,0.57686,2.13715,0.12660,0.25000
adaptive_probe_then_act,0.08,6,8,0.75000,0.87500,0.27623,0.25000,0.12500,0.25000,0.57277,2.16966,0.09512,0.25000
adaptive_probe_then_act,0.08,7,8,0.62500,1.00000,0.21325,0.12500,0.00000,0.37500,0.50225,2.13263,0.26014,0.37500
adaptive_probe_then_act,0.12,0,8,0.50000,0.87500,0.27536,0.25000,0.12500,0.50000,0.41381,2.26292,0.15573,0.50000
adaptive_probe_then_act,0.12,1,8,1.00000,1.00000,0.20975,0.00000,0.00000,0.00000,0.76903,1.95847,0.12455,0.00000
adaptive_probe_then_act,0.12,2,8,0.87500,1.00000,0.21171,0.00000,0.00000,0.12500,0.67633,2.01661,0.17044,0.12500
adaptive_probe_then_act,0.12,3,8,0.50000,1.00000,0.21582,0.00000,0.12500,0.50000,0.43952,2.09876,0.26498,0.50000
adaptive_probe_then_act,0.12,4,8,0.37500,0.87500,0.27501,0.12500,0.12500,0.62500,0.34711,2.14884,0.25026,0.62500
adaptive_probe_then_act,0.12,5,8,0.87500,1.00000,0.21030,0.00000,0.00000,0.12500,0.67647,2.04453,0.16060,0.12500
adaptive_probe_then_act,0.12,6,8,0.87500,0.87500,0.27204,0.12500,0.12500,0.12500,0.65461,2.05946,0.10180,0.12500
adaptive_probe_then_act,0.12,7,8,0.75000,1.00000,0.21460,0.00000,0.00000,0.25000,0.59854,1.97378,0.27805,0.25000
adaptive_probe_then_act,0.18,0,8,0.37500,0.87500,0.27187,0.25000,0.00000,0.62500,0.34072,2.20464,0.17783,0.62500
adaptive_probe_then_act,0.18,1,8,0.87500,1.00000,0.21318,0.00000,0.00000,0.12500,0.69118,1.96579,0.16830,0.12500
