method,risk_budget,seed,episodes,success,fixture_correct,parameter_error,force_violation,damage,repeated_failure,path_efficiency,energy,calibration_brier,tail_risk
adaptive_probe_then_act,0.18,2,8,0.37500,1.00000,0.21890,0.37500,0.37500,0.50000,0.35875,2.36443,0.22657,0.62500
adaptive_probe_then_act,0.18,3,8,0.37500,0.87500,0.27482,0.12500,0.25000,0.50000,0.36300,2.17951,0.18511,0.62500
adaptive_probe_then_act,0.18,4,8,0.75000,0.87500,0.27682,0.12500,0.12500,0.12500,0.62258,2.09862,0.18310,0.25000
adaptive_probe_then_act,0.18,5,8,0.75000,1.00000,0.20919,0.00000,0.12500,0.25000,0.58015,2.02079,0.13739,0.25000
adaptive_probe_then_act,0.18,6,8,0.87500,0.87500,0.27630,0.12500,0.12500,0.12500,0.65418,2.08432,0.10991,0.12500
adaptive_probe_then_act,0.18,7,8,0.62500,0.87500,0.27428,0.12500,0.00000,0.37500,0.51439,2.12513,0.16040,0.37500
adaptive_probe_then_act,0.25,0,8,0.62500,1.00000,0.21245,0.00000,0.00000,0.37500,0.53625,1.98827,0.23366,0.37500
adaptive_probe_then_act,0.25,1,8,0.62500,0.87500,0.28028,0.25000,0.12500,0.12500,0.56069,2.10547,0.22578,0.37500
adaptive_probe_then_act,0.25,2,8,0.62500,1.00000,0.21478,0.00000,0.00000,0.37500,0.50602,2.01003,0.20429,0.37500
adaptive_probe_then_act,0.25,3,8,0.62500,0.87500,0.27687,0.25000,0.12500,0.25000,0.52617,2.11887,0.15593,0.37500
adaptive_probe_then_act,0.25,4,8,0.62500,1.00000,0.21215,0.12500,0.00000,0.25000,0.56724,2.16281,0.25558,0.37500
adaptive_probe_then_act,0.25,5,8,0.87500,1.00000,0.21826,0.00000,0.12500,0.12500,0.64179,2.00713,0.25295,0.12500
adaptive_probe_then_act,0.25,6,8,0.75000,1.00000,0.21583,0.00000,0.12500,0.12500,0.64427,2.00582,0.15837,0.25000
adaptive_probe_then_act,0.25,7,8,0.62500,1.00000,0.21524,0.12500,0.00000,0.37500,0.51705,2.09349,0.15478,0.37500
bayesian_fixture_belief,0.08,0,8,0.37500,0.75000,0.41710,0.37500,0.12500,0.37500,0.37693,2.35515,0.16264,0.62500
bayesian_fixture_belief,0.08,1,8,0.62500,1.00000,0.29280,0.00000,0.00000,0.37500,0.51322,2.04882,0.24622,0.37500
bayesian_fixture_belief,0.08,2,8,0.62500,0.87500,0.35495,0.25000,0.12500,0.25000,0.52332,2.23920,0.19240,0.37500
bayesian_fixture_belief,0.08,3,8,0.50000,0.87500,0.35495,0.25000,0.12500,0.37500,0.45257,2.22706,0.18979,0.50000
bayesian_fixture_belief,0.08,4,8,0.62500,0.87500,0.35495,0.25000,0.12500,0.25000,0.51507,2.15714,0.18375,0.37500
bayesian_fixture_belief,0.08,5,8,0.25000,0.75000,0.41710,0.37500,0.25000,0.62500,0.27629,2.39852,0.18137,0.75000
bayesian_fixture_belief,0.08,6,8,0.12500,0.75000,0.41710,0.50000,0.37500,0.87500,0.16043,2.48521,0.21035,0.87500
bayesian_fixture_belief,0.08,7,8,0.50000,0.87500,0.35495,0.25000,0.37500,0.25000,0.46071,2.19796,0.31447,0.50000
bayesian_fixture_belief,0.12,0,8,0.75000,0.87500,0.35495,0.25000,0.00000,0.12500,0.59257,2.18432,0.17777,0.25000
bayesian_fixture_belief,0.12,1,8,0.50000,0.87500,0.35495,0.12500,0.12500,0.37500,0.45264,2.13767,0.20727,0.50000
bayesian_fixture_belief,0.12,2,8,0.25000,0.87500,0.35495,0.12500,0.25000,0.62500,0.28734,2.22288,0.21105,0.75000
bayesian_fixture_belief,0.12,3,8,0.25000,0.87500,0.35495,0.12500,0.25000,0.62500,0.28257,2.22350,0.21085,0.75000
bayesian_fixture_belief,0.12,4,8,0.50000,0.75000,0.41710,0.37500,0.25000,0.37500,0.43954,2.27982,0.16051,0.50000
bayesian_fixture_belief,0.12,5,8,0.37500,1.00000,0.29280,0.37500,0.12500,0.50000,0.36613,2.39129,0.25592,0.62500
bayesian_fixture_belief,0.12,6,8,0.37500,0.87500,0.35495,0.37500,0.37500,0.50000,0.35310,2.31874,0.21221,0.62500
bayesian_fixture_belief,0.12,7,8,0.50000,0.87500,0.35495,0.25000,0.25000,0.37500,0.45257,2.18082,0.36277,0.50000
bayesian_fixture_belief,0.18,0,8,0.62500,0.87500,0.35495,0.12500,0.00000,0.37500,0.49194,2.06580,0.20919,0.37500
bayesian_fixture_belief,0.18,1,8,0.37500,0.75000,0.41710,0.00000,0.12500,0.50000,0.35393,2.06481,0.16652,0.62500
bayesian_fixture_belief,0.18,2,8,0.37500,1.00000,0.29280,0.00000,0.12500,0.62500,0.35473,2.12114,0.24323,0.62500
bayesian_fixture_belief,0.18,3,8,0.50000,0.75000,0.41710,0.25000,0.37500,0.37500,0.43804,2.23961,0.15570,0.50000
bayesian_fixture_belief,0.18,4,8,0.37500,0.75000,0.41710,0.37500,0.50000,0.37500,0.38169,2.33802,0.16290,0.62500
bayesian_fixture_belief,0.18,5,8,0.50000,0.87500,0.35495,0.25000,0.12500,0.37500,0.43259,2.22277,0.20487,0.50000
bayesian_fixture_belief,0.18,6,8,0.75000,0.75000,0.41710,0.25000,0.25000,0.25000,0.54815,2.20912,0.15335,0.25000
bayesian_fixture_belief,0.18,7,8,0.37500,0.87500,0.35495,0.25000,0.12500,0.50000,0.37507,2.24257,0.20426,0.62500
bayesian_fixture_belief,0.25,0,8,0.37500,0.87500,0.35495,0.12500,0.12500,0.62500,0.35194,2.14026,0.23431,0.62500
bayesian_fixture_belief,0.25,1,8,0.50000,0.75000,0.41710,0.25000,0.25000,0.37500,0.43954,2.16451,0.16594,0.50000
bayesian_fixture_belief,0.25,2,8,0.75000,1.00000,0.29280,0.12500,0.00000,0.12500,0.59886,2.04601,0.22469,0.25000
bayesian_fixture_belief,0.25,3,8,0.50000,0.75000,0.41710,0.25000,0.25000,0.37500,0.43129,2.15090,0.16338,0.50000
bayesian_fixture_belief,0.25,4,8,0.50000,0.87500,0.35495,0.37500,0.12500,0.37500,0.43735,2.37518,0.20025,0.50000
bayesian_fixture_belief,0.25,5,8,0.62500,0.87500,0.35495,0.12500,0.12500,0.37500,0.46520,2.15367,0.22645,0.37500
bayesian_fixture_belief,0.25,6,8,0.75000,0.87500,0.35495,0.12500,0.12500,0.25000,0.58095,2.13057,0.17686,0.25000
bayesian_fixture_belief,0.25,7,8,0.37500,0.87500,0.35495,0.25000,0.12500,0.50000,0.38332,2.21300,0.23659,0.62500
calibrated_prototype_system_id,0.08,0,8,0.25000,0.87500,0.31562,0.37500,0.25000,0.50000,0.32378,2.37348,0.19152,0.75000
calibrated_prototype_system_id,0.08,1,8,0.50000,1.00000,0.25500,0.00000,0.25000,0.25000,0.48525,2.02038,0.18313,0.50000
calibrated_prototype_system_id,0.08,2,8,0.62500,1.00000,0.25500,0.25000,0.00000,0.12500,0.57100,2.20332,0.16304,0.37500
calibrated_prototype_system_id,0.08,3,8,0.50000,1.00000,0.25500,0.12500,0.00000,0.37500,0.47738,2.13081,0.28098,0.50000
calibrated_prototype_system_id,0.08,4,8,0.62500,1.00000,0.25500,0.12500,0.12500,0.12500,0.56275,2.03377,0.18730,0.37500
calibrated_prototype_system_id,0.08,5,8,0.87500,0.87500,0.31562,0.12500,0.00000,0.12500,0.65053,2.11147,0.12242,0.12500
calibrated_prototype_system_id,0.08,6,8,0.37500,1.00000,0.25500,0.12500,0.12500,0.37500,0.43101,2.09804,0.20281,0.62500
calibrated_prototype_system_id,0.08,7,8,0.50000,0.87500,0.31562,0.12500,0.37500,0.25000,0.46378,2.10909,0.13236,0.50000
calibrated_prototype_system_id,0.12,0,8,0.37500,0.87500,0.31562,0.37500,0.25000,0.37500,0.39453,2.32470,0.16836,0.62500
calibrated_prototype_system_id,0.12,1,8,0.62500,1.00000,0.25500,0.00000,0.12500,0.25000,0.55488,2.01430,0.17002,0.37500
calibrated_prototype_system_id,0.12,2,8,0.50000,1.00000,0.25500,0.25000,0.00000,0.25000,0.49350,2.22025,0.18973,0.50000
calibrated_prototype_system_id,0.12,3,8,0.62500,1.00000,0.25500,0.12500,0.00000,0.25000,0.54813,2.13338,0.23736,0.37500
calibrated_prototype_system_id,0.12,4,8,0.75000,0.87500,0.31562,0.00000,0.12500,0.12500,0.61131,1.95426,0.12760,0.25000
calibrated_prototype_system_id,0.12,5,8,0.75000,1.00000,0.25500,0.00000,0.00000,0.25000,0.59450,2.07322,0.18881,0.25000
calibrated_prototype_system_id,0.12,6,8,0.50000,1.00000,0.25500,0.12500,0.12500,0.25000,0.49350,2.08074,0.17913,0.50000
calibrated_prototype_system_id,0.12,7,8,0.75000,0.87500,0.31562,0.25000,0.12500,0.12500,0.61090,2.12519,0.12613,0.25000
calibrated_prototype_system_id,0.18,0,8,0.25000,0.87500,0.31562,0.50000,0.12500,0.50000,0.31178,2.34880,0.23510,0.75000
calibrated_prototype_system_id,0.18,1,8,0.87500,1.00000,0.25500,0.00000,0.00000,0.12500,0.68700,1.96726,0.16256,0.12500
calibrated_prototype_system_id,0.18,2,8,0.75000,1.00000,0.25500,0.00000,0.12500,0.12500,0.62563,2.01132,0.17636,0.25000
calibrated_prototype_system_id,0.18,3,8,0.75000,0.87500,0.31562,0.25000,0.00000,0.12500,0.60415,2.18706,0.12372,0.25000
calibrated_prototype_system_id,0.18,4,8,0.75000,0.87500,0.31562,0.00000,0.00000,0.25000,0.58844,2.03960,0.14493,0.25000
calibrated_prototype_system_id,0.18,5,8,0.62500,1.00000,0.25500,0.00000,0.00000,0.37500,0.51700,2.04427,0.21883,0.37500
calibrated_prototype_system_id,0.18,6,8,0.50000,0.87500,0.31562,0.25000,0.00000,0.50000,0.40603,2.25457,0.20641,0.50000
calibrated_prototype_system_id,0.18,7,8,0.62500,0.87500,0.31562,0.25000,0.12500,0.25000,0.53340,2.18695,0.14429,0.37500
calibrated_prototype_system_id,0.25,0,8,0.37500,1.00000,0.25500,0.12500,0.12500,0.50000,0.39613,2.10438,0.32355,0.62500
calibrated_prototype_system_id,0.25,1,8,0.25000,0.87500,0.31562,0.37500,0.50000,0.50000,0.29604,2.27033,0.21755,0.75000
calibrated_prototype_system_id,0.25,2,8,0.62500,1.00000,0.25500,0.00000,0.25000,0.12500,0.55601,1.95719,0.17253,0.37500
calibrated_prototype_system_id,0.25,3,8,0.75000,0.87500,0.31562,0.12500,0.00000,0.12500,0.61956,2.00035,0.12244,0.25000
calibrated_prototype_system_id,0.25,4,8,0.37500,1.00000,0.25500,0.25000,0.00000,0.37500,0.42275,2.27893,0.24531,0.62500
calibrated_prototype_system_id,0.25,5,8,0.62500,1.00000,0.25500,0.12500,0.25000,0.12500,0.54401,2.09067,0.17711,0.37500
calibrated_prototype_system_id,0.25,6,8,0.75000,1.00000,0.25500,0.12500,0.12500,0.12500,0.62863,2.09469,0.16068,0.25000
calibrated_prototype_system_id,0.25,7,8,0.75000,1.00000,0.25500,0.25000,0.12500,0.00000,0.66351,2.09575,0.14561,0.25000
latent_fixture_inference_v5,0.08,0,8,0.12500,0.62500,0.35984,0.50000,0.50000,0.50000,0.20628,2.48877,0.21915,0.87500
latent_fixture_inference_v5,0.08,1,8,0.25000,0.75000,0.29708,0.37500,0.25000,0.62500,0.24474,2.38672,0.27576,0.75000
latent_fixture_inference_v5,0.08,2,8,0.25000,0.75000,0.30111,0.62500,0.37500,0.62500,0.22093,2.60219,0.10825,0.75000
latent_fixture_inference_v5,0.08,3,8,0.25000,0.62500,0.35863,0.75000,0.37500,0.62500,0.21840,2.65769,0.12076,0.75000
latent_fixture_inference_v5,0.08,4,8,0.50000,0.75000,0.29827,0.25000,0.37500,0.25000,0.45047,2.16566,0.18325,0.50000
latent_fixture_inference_v5,0.08,5,8,0.25000,0.75000,0.30151,0.25000,0.62500,0.37500,0.29490,2.27372,0.25091,0.75000
latent_fixture_inference_v5,0.08,6,8,0.12500,0.62500,0.36111,0.75000,0.12500,0.87500,0.10584,2.67925,0.05131,0.87500
latent_fixture_inference_v5,0.08,7,8,0.37500,0.87500,0.23894,0.62500,0.25000,0.25000,0.37532,2.47741,0.30688,0.62500
latent_fixture_inference_v5,0.12,0,8,0.12500,0.75000,0.30104,0.37500,0.50000,0.62500,0.19002,2.39419,0.16211,0.87500
latent_fixture_inference_v5,0.12,1,8,0.25000,0.75000,0.29772,0.37500,0.25000,0.50000,0.29550,2.35355,0.34162,0.75000
latent_fixture_inference_v5,0.12,2,8,0.37500,0.62500,0.35794,0.37500,0.37500,0.50000,0.30445,2.39186,0.09904,0.62500
latent_fixture_inference_v5,0.12,3,8,0.25000,0.75000,0.30104,0.62500,0.12500,0.62500,0.22516,2.59261,0.15179,0.75000
latent_fixture_inference_v5,0.12,4,8,0.37500,0.75000,0.30080,0.50000,0.25000,0.50000,0.33364,2.40087,0.09500,0.62500
latent_fixture_inference_v5,0.12,5,8,0.37500,0.75000,0.29783,0.62500,0.25000,0.37500,0.33786,2.56559,0.24324,0.62500
latent_fixture_inference_v5,0.12,6,8,0.12500,0.75000,0.30078,0.50000,0.12500,0.87500,0.11380,2.50672,0.19168,0.87500
latent_fixture_inference_v5,0.12,7,8,0.25000,0.75000,0.30086,0.62500,0.37500,0.37500,0.30571,2.46242,0.27226,0.75000
latent_fixture_inference_v5,0.18,0,8,0.25000,0.87500,0.24026,0.37500,0.75000,0.50000,0.27361,2.27966,0.24516,0.75000
latent_fixture_inference_v5,0.18,1,8,0.37500,0.62500,0.35877,0.50000,0.12500,0.37500,0.36271,2.39614,0.35778,0.62500
latent_fixture_inference_v5,0.18,2,8,0.25000,0.50000,0.41748,0.25000,0.12500,0.75000,0.20211,2.34863,0.08960,0.75000
latent_fixture_inference_v5,0.18,3,8,0.12500,0.62500,0.36133,0.25000,0.37500,0.75000,0.14587,2.34528,0.17665,0.87500
latent_fixture_inference_v5,0.18,4,8,0.37500,0.75000,0.30236,0.25000,0.25000,0.37500,0.35339,2.26226,0.25447,0.62500
latent_fixture_inference_v5,0.18,5,8,0.25000,0.87500,0.23821,0.50000,0.25000,0.50000,0.26300,2.44705,0.30251,0.75000
latent_fixture_inference_v5,0.18,6,8,0.37500,0.75000,0.30202,0.50000,0.37500,0.37500,0.33749,2.42297,0.40967,0.62500
latent_fixture_inference_v5,0.18,7,8,0.12500,0.62500,0.36140,0.50000,0.50000,0.75000,0.14065,2.49830,0.16791,0.87500
latent_fixture_inference_v5,0.25,0,8,0.37500,0.62500,0.35924,0.37500,0.37500,0.50000,0.31608,2.30928,0.17775,0.62500
latent_fixture_inference_v5,0.25,1,8,0.12500,0.50000,0.42114,0.62500,0.75000,0.62500,0.16865,2.50240,0.17179,0.87500
latent_fixture_inference_v5,0.25,2,8,0.12500,0.87500,0.24008,0.75000,0.12500,0.50000,0.21598,2.58404,0.29924,0.87500
latent_fixture_inference_v5,0.25,3,8,0.12500,0.62500,0.36097,0.62500,0.37500,0.75000,0.14068,2.51381,0.09665,0.87500
latent_fixture_inference_v5,0.25,4,8,0.12500,0.62500,0.35994,0.75000,0.62500,0.50000,0.21305,2.68598,0.25086,0.87500
latent_fixture_inference_v5,0.25,5,8,0.25000,0.87500,0.24091,0.37500,0.25000,0.62500,0.23316,2.39468,0.29409,0.75000
latent_fixture_inference_v5,0.25,6,8,0.12500,0.75000,0.30025,0.75000,0.62500,0.37500,0.24377,2.61953,0.29721,0.87500
latent_fixture_inference_v5,0.25,7,8,0.12500,0.75000,0.30275,0.75000,0.25000,0.75000,0.13903,2.64167,0.07811,0.87500
particle_filter_fixture,0.08,0,8,0.37500,0.62500,0.46750,0.50000,0.25000,0.37500,0.37144,2.44442,0.11676,0.62500
particle_filter_fixture,0.08,1,8,0.75000,1.00000,0.28000,0.00000,0.00000,0.25000,0.59200,2.02125,0.23094,0.25000
particle_filter_fixture,0.08,2,8,0.25000,1.00000,0.28000,0.12500,0.25000,0.37500,0.35940,2.17094,0.21328,0.75000
particle_filter_fixture,0.08,3,8,0.50000,0.87500,0.34250,0.12500,0.25000,0.25000,0.48854,2.11200,0.32729,0.50000
particle_filter_fixture,0.08,4,8,0.62500,0.87500,0.34250,0.25000,0.00000,0.25000,0.52441,2.15670,0.17615,0.37500
particle_filter_fixture,0.08,5,8,0.75000,0.87500,0.34250,0.12500,0.12500,0.25000,0.56704,2.13953,0.16343,0.25000
particle_filter_fixture,0.08,6,8,0.37500,0.75000,0.40500,0.25000,0.25000,0.50000,0.35491,2.22841,0.16140,0.62500
particle_filter_fixture,0.08,7,8,0.50000,0.87500,0.34250,0.12500,0.25000,0.50000,0.40379,2.16428,0.19401,0.50000
particle_filter_fixture,0.12,0,8,0.37500,0.75000,0.40500,0.25000,0.37500,0.37500,0.36957,2.24033,0.15582,0.62500
particle_filter_fixture,0.12,1,8,0.62500,0.87500,0.34250,0.00000,0.12500,0.37500,0.50811,2.04974,0.20431,0.37500
particle_filter_fixture,0.12,2,8,0.62500,1.00000,0.28000,0.00000,0.12500,0.25000,0.53755,2.04613,0.21082,0.37500
particle_filter_fixture,0.12,3,8,0.50000,0.87500,0.34250,0.12500,0.37500,0.12500,0.49659,2.11456,0.28411,0.50000
particle_filter_fixture,0.12,4,8,0.62500,0.75000,0.40500,0.25000,0.12500,0.37500,0.48672,2.19190,0.15607,0.37500
particle_filter_fixture,0.12,5,8,0.75000,1.00000,0.28000,0.00000,0.12500,0.25000,0.58842,2.07409,0.20800,0.25000
particle_filter_fixture,0.12,6,8,0.62500,0.87500,0.34250,0.12500,0.25000,0.37500,0.48129,2.11618,0.18305,0.37500
particle_filter_fixture,0.12,7,8,0.62500,0.87500,0.34250,0.12500,0.12500,0.37500,0.50811,2.09288,0.22692,0.37500
particle_filter_fixture,0.18,0,8,0.62500,0.87500,0.34250,0.12500,0.37500,0.12500,0.54746,2.01112,0.15764,0.37500
particle_filter_fixture,0.18,1,8,0.37500,0.87500,0.34250,0.12500,0.37500,0.25000,0.43051,2.09020,0.18932,0.62500
particle_filter_fixture,0.18,2,8,0.62500,0.87500,0.34250,0.25000,0.25000,0.12500,0.54746,2.19463,0.17030,0.37500
particle_filter_fixture,0.18,3,8,0.50000,0.87500,0.34250,0.25000,0.25000,0.25000,0.46171,2.21512,0.16500,0.50000
particle_filter_fixture,0.18,4,8,0.50000,0.75000,0.40500,0.12500,0.25000,0.50000,0.40923,2.18973,0.19185,0.50000
particle_filter_fixture,0.18,5,8,0.62500,1.00000,0.28000,0.12500,0.00000,0.25000,0.54580,2.10552,0.22200,0.37500
particle_filter_fixture,0.18,6,8,0.62500,0.87500,0.34250,0.12500,0.12500,0.25000,0.51616,2.11376,0.18404,0.37500
particle_filter_fixture,0.18,7,8,0.37500,0.87500,0.34250,0.25000,0.25000,0.37500,0.40746,2.21502,0.22927,0.62500
particle_filter_fixture,0.25,0,8,0.62500,0.87500,0.34250,0.12500,0.25000,0.25000,0.53941,2.05844,0.17169,0.37500
particle_filter_fixture,0.25,1,8,0.37500,0.62500,0.46750,0.37500,0.50000,0.50000,0.34331,2.27565,0.12284,0.62500
particle_filter_fixture,0.25,2,8,0.37500,1.00000,0.28000,0.12500,0.12500,0.37500,0.39885,2.09982,0.22056,0.62500
particle_filter_fixture,0.25,3,8,0.50000,0.75000,0.40500,0.12500,0.12500,0.50000,0.39754,2.09010,0.14976,0.50000
particle_filter_fixture,0.25,4,8,0.75000,1.00000,0.28000,0.00000,0.00000,0.25000,0.60700,2.07768,0.24328,0.25000
particle_filter_fixture,0.25,5,8,0.37500,0.87500,0.34250,0.25000,0.00000,0.50000,0.34616,2.26786,0.20132,0.62500
particle_filter_fixture,0.25,6,8,0.50000,0.87500,0.34250,0.12500,0.12500,0.50000,0.43061,2.18438,0.23352,0.50000
particle_filter_fixture,0.25,7,8,0.37500,0.87500,0.34250,0.12500,0.25000,0.50000,0.38441,2.12507,0.24131,0.62500
prototype_system_id,0.08,0,8,0.37500,0.87500,0.32125,0.12500,0.25000,0.25000,0.42416,2.14433,0.15792,0.62500
prototype_system_id,0.08,1,8,0.50000,1.00000,0.25000,0.37500,0.00000,0.25000,0.49016,2.28270,0.22321,0.50000
prototype_system_id,0.08,2,8,0.75000,1.00000,0.25000,0.00000,0.12500,0.12500,0.62609,2.02815,0.16881,0.25000
prototype_system_id,0.08,3,8,0.62500,1.00000,0.25000,0.00000,0.12500,0.25000,0.56359,2.01601,0.18739,0.37500
prototype_system_id,0.08,4,8,0.75000,1.00000,0.25000,0.00000,0.12500,0.12500,0.62609,1.94609,0.17587,0.25000
prototype_system_id,0.08,5,8,0.50000,0.87500,0.32125,0.12500,0.37500,0.25000,0.46381,2.13870,0.14772,0.50000
prototype_system_id,0.08,6,8,0.50000,1.00000,0.25000,0.25000,0.25000,0.12500,0.51975,2.13111,0.19989,0.50000
prototype_system_id,0.08,7,8,0.50000,0.87500,0.32125,0.25000,0.12500,0.37500,0.44097,2.22382,0.20686,0.50000
prototype_system_id,0.12,0,8,0.25000,0.87500,0.32125,0.12500,0.12500,0.50000,0.30881,2.17694,0.18766,0.75000
prototype_system_id,0.12,1,8,0.50000,1.00000,0.25000,0.12500,0.25000,0.12500,0.53178,2.07450,0.20285,0.50000
prototype_system_id,0.12,2,8,0.75000,1.00000,0.25000,0.00000,0.25000,0.00000,0.64894,1.99083,0.17242,0.25000
prototype_system_id,0.12,3,8,0.62500,1.00000,0.25000,0.12500,0.12500,0.25000,0.53656,2.13320,0.19280,0.37500
prototype_system_id,0.12,4,8,0.50000,0.87500,0.32125,0.12500,0.12500,0.50000,0.43313,2.12325,0.22227,0.50000
prototype_system_id,0.12,5,8,0.50000,1.00000,0.25000,0.12500,0.25000,0.25000,0.48191,2.16054,0.21161,0.50000
prototype_system_id,0.12,6,8,0.62500,1.00000,0.25000,0.12500,0.12500,0.12500,0.56319,2.05344,0.18080,0.37500
prototype_system_id,0.12,7,8,0.25000,0.87500,0.32125,0.12500,0.12500,0.75000,0.27813,2.17342,0.24705,0.75000
prototype_system_id,0.18,0,8,0.87500,0.87500,0.32125,0.12500,0.00000,0.12500,0.65726,2.00512,0.13656,0.12500
prototype_system_id,0.18,1,8,0.50000,1.00000,0.25000,0.25000,0.00000,0.37500,0.47406,2.19633,0.20205,0.50000
prototype_system_id,0.18,2,8,0.50000,0.87500,0.32125,0.37500,0.12500,0.37500,0.43719,2.33555,0.17507,0.50000
prototype_system_id,0.18,3,8,0.37500,0.87500,0.32125,0.25000,0.25000,0.37500,0.38253,2.24142,0.17354,0.62500
prototype_system_id,0.18,4,8,0.50000,0.87500,0.32125,0.12500,0.12500,0.50000,0.43312,2.18146,0.25047,0.50000
prototype_system_id,0.18,5,8,0.25000,1.00000,0.25000,0.25000,0.12500,0.50000,0.33516,2.24622,0.25599,0.75000
prototype_system_id,0.18,6,8,0.62500,0.87500,0.32125,0.12500,0.37500,0.12500,0.54956,2.08580,0.14442,0.37500
prototype_system_id,0.18,7,8,0.37500,0.87500,0.32125,0.12500,0.12500,0.62500,0.35563,2.18093,0.23774,0.62500
prototype_system_id,0.25,0,8,0.50000,1.00000,0.25000,0.25000,0.00000,0.25000,0.50069,2.13746,0.18516,0.50000
prototype_system_id,0.25,1,8,0.25000,0.87500,0.32125,0.00000,0.25000,0.75000,0.26609,2.06219,0.22665,0.75000
prototype_system_id,0.25,2,8,0.50000,1.00000,0.25000,0.25000,0.00000,0.37500,0.44406,2.18627,0.20561,0.50000
prototype_system_id,0.25,3,8,0.62500,0.87500,0.32125,0.12500,0.12500,0.25000,0.53347,2.02758,0.14732,0.37500
prototype_system_id,0.25,4,8,0.87500,1.00000,0.25000,0.00000,0.12500,0.00000,0.71034,2.02238,0.16202,0.12500
prototype_system_id,0.25,5,8,0.75000,1.00000,0.25000,0.00000,0.00000,0.25000,0.58000,2.03012,0.20812,0.25000
prototype_system_id,0.25,6,8,0.75000,1.00000,0.25000,0.12500,0.00000,0.25000,0.59797,2.12164,0.22568,0.25000
prototype_system_id,0.25,7,8,0.50000,1.00000,0.25000,0.00000,0.00000,0.50000,0.45500,2.02908,0.25880,0.50000
random_forest_probe_classifier,0.08,0,8,0.37500,0.75000,0.39018,0.25000,0.37500,0.62500,0.32465,2.31571,0.17580,0.62500
random_forest_probe_classifier,0.08,1,8,0.75000,1.00000,0.25416,0.12500,0.12500,0.00000,0.64866,2.05360,0.12532,0.25000
random_forest_probe_classifier,0.08,2,8,0.75000,1.00000,0.25255,0.00000,0.12500,0.12500,0.61763,2.02824,0.18328,0.25000
random_forest_probe_classifier,0.08,3,8,0.50000,1.00000,0.25694,0.25000,0.25000,0.12500,0.51940,2.16413,0.15835,0.50000
random_forest_probe_classifier,0.08,4,8,0.50000,0.87500,0.31847,0.12500,0.25000,0.50000,0.41435,2.12261,0.21125,0.50000
random_forest_probe_classifier,0.08,5,8,0.62500,0.87500,0.32612,0.25000,0.12500,0.37500,0.48298,2.25359,0.15610,0.37500
random_forest_probe_classifier,0.08,6,8,0.50000,1.00000,0.25841,0.12500,0.12500,0.37500,0.47709,2.09816,0.27979,0.50000
