seed,scenario,layout_id,split,method,fixture_type,visible_hint,estimated_fixture,action,confidence,fixture_correct,parameter_error,success,first_attempt_success,repeated_failure,force_violation,damage,path_efficiency,energy,predicted_success,calibration_brier,stress_level,prob_free,prob_clamp,prob_hinge,prob_slot,prob_suction,prob_tether
0,9000,combined_fixture_stress_0_9000_free,combined_fixture_stress,prototype_system_id,free,unknown,free,direct_translate,0.87083,1,0.25000,0,0,1,0,0,0.17500,2.19054,0.78735,0.61993,0.00,0.87083,0.00641,0.03475,0.03422,0.01868,0.03512
0,9000,combined_fixture_stress_0_9000_free,combined_fixture_stress,calibrated_prototype_system_id,free,unknown,free,direct_translate,0.82902,1,0.20000,1,1,0,0,0,0.80000,1.97179,0.82064,0.03217,0.00,0.82902,0.02777,0.03732,0.03711,0.03130,0.03748
0,9000,combined_fixture_stress_0_9000_free,combined_fixture_stress,random_forest_probe_classifier,free,unknown,free,direct_translate,0.77085,1,0.24833,1,1,0,0,0,0.79517,1.97348,0.80239,0.03905,0.00,0.77085,0.05263,0.04291,0.04840,0.04016,0.04505
0,9000,combined_fixture_stress_0_9000_free,combined_fixture_stress,bayesian_fixture_belief,free,unknown,free,direct_translate,0.32666,1,0.29280,0,0,1,0,0,0.17072,2.19204,0.66870,0.44715,0.00,0.32666,0.12238,0.13969,0.14076,0.13009,0.14043
0,9000,combined_fixture_stress_0_9000_free,combined_fixture_stress,robust_impedance_planner,free,unknown,free,direct_translate,0.70357,1,0.35198,1,1,0,0,0,0.78480,1.97711,0.78523,0.04613,0.00,0.70357,0.04793,0.06438,0.06458,0.05472,0.06481
0,9000,combined_fixture_stress_0_9000_free,combined_fixture_stress,adaptive_probe_then_act,free,unknown,free,direct_translate,0.75395,1,0.19968,1,1,0,0,0,0.80003,1.97178,0.82123,0.03196,0.00,0.75395,0.04212,0.05233,0.05260,0.04634,0.05265
0,9000,combined_fixture_stress_0_9000_free,combined_fixture_stress,ensemble_uncertainty_planner,free,unknown,free,direct_translate,0.81996,1,0.30881,1,1,0,0,0,0.78912,1.97560,0.72098,0.07785,0.00,0.81996,0.01090,0.04687,0.04604,0.02641,0.04983
0,9000,combined_fixture_stress_0_9000_free,combined_fixture_stress,particle_filter_fixture,free,unknown,free,direct_translate,0.61582,1,0.28000,1,1,0,0,0,0.79200,1.97459,0.71207,0.08290,0.00,0.61582,0.07879,0.07633,0.08412,0.06530,0.07963
0,9000,combined_fixture_stress_0_9000_free,combined_fixture_stress,latent_fixture_inference_v5,free,unknown,free,cautious_probe_pull,0.41140,1,0.18120,1,1,0,0,0,0.68188,2.01313,0.49071,0.25938,0.00,0.41140,0.12223,0.11584,0.12495,0.10599,0.11959
0,9000,combined_fixture_stress_0_9000_free,combined_fixture_stress,oracle_fixture,free,unknown,free,direct_translate,1.00000,1,0.00000,1,1,0,0,0,0.82000,1.96479,0.97190,0.00079,0.00,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0,9001,combined_fixture_stress_0_9001_clamp,combined_fixture_stress,prototype_system_id,clamp,unknown,suction,peel_then_translate,0.35919,0,0.82000,0,0,1,1,1,0.00000,2.74990,0.01641,0.00027,0.00,0.00599,0.27687,0.06225,0.05546,0.35919,0.24023
