method,split,seeds,mean_success,ci95_success,mean_tail_risk,ci95_tail_risk,mean_fixture_correct,ci95_fixture_correct,mean_parameter_error,ci95_parameter_error,mean_force_violation,ci95_force_violation,mean_damage,ci95_damage,mean_repeated_failure,ci95_repeated_failure,mean_path_efficiency,ci95_path_efficiency,mean_energy,ci95_energy,mean_calibration_brier,ci95_calibration_brier
latent_fixture_v5_full,combined_fixture_stress,8,0.56250,0.07350,0.43750,0.07350,0.76250,0.03586,0.29192,0.01787,0.35000,0.05238,0.32500,0.11566,0.43750,0.07350,0.42506,0.04986,2.21755,0.05501,0.17024,0.03731
latent_fixture_v5_no_adaptive_probe,combined_fixture_stress,8,0.70000,0.08283,0.30000,0.08283,0.81250,0.04441,0.26629,0.02187,0.11250,0.05783,0.05000,0.03704,0.30000,0.08283,0.55187,0.05043,2.00692,0.05604,0.12619,0.03118
latent_fixture_v5_no_calibration,combined_fixture_stress,8,0.66250,0.10436,0.33750,0.10436,0.78750,0.04441,0.32622,0.02218,0.17500,0.06142,0.11250,0.09398,0.33750,0.10436,0.51213,0.06538,2.06458,0.06127,0.18621,0.04715
latent_fixture_v5_no_compliance_anisotropy,combined_fixture_stress,8,0.43750,0.07350,0.56250,0.07350,0.68750,0.05783,0.39867,0.02807,0.36250,0.08231,0.25000,0.08283,0.56250,0.07350,0.33388,0.03718,2.25822,0.07038,0.14786,0.03236
latent_fixture_v5_no_hysteresis_memory,combined_fixture_stress,8,0.48750,0.08637,0.51250,0.08637,0.60000,0.03704,0.43947,0.01776,0.32500,0.04900,0.26250,0.10436,0.51250,0.08637,0.37581,0.05885,2.21730,0.03952,0.12301,0.03459
latent_fixture_v5_no_particle_refinement,combined_fixture_stress,8,0.35000,0.06416,0.65000,0.06416,0.37500,0.07173,0.47897,0.03465,0.47500,0.11566,0.22500,0.10312,0.65000,0.06416,0.26860,0.04190,2.35981,0.08667,0.14747,0.04625
latent_fixture_v5_no_release_cues,combined_fixture_stress,8,0.51250,0.08637,0.48750,0.08637,0.71250,0.05783,0.38814,0.02768,0.37500,0.13735,0.26250,0.15244,0.48750,0.08637,0.40094,0.06331,2.24350,0.11290,0.16564,0.04854
latent_fixture_v5_no_safety_margin,combined_fixture_stress,8,0.50000,0.09073,0.50000,0.09073,0.76250,0.03586,0.29192,0.01787,0.61250,0.10759,0.37500,0.08073,0.50000,0.09073,0.40431,0.05308,2.40857,0.09675,0.18023,0.04688
latent_fixture_v5_no_torque_features,combined_fixture_stress,8,0.30000,0.07408,0.70000,0.07408,0.40000,0.09800,0.53887,0.04666,0.40000,0.09800,0.37500,0.09623,0.70000,0.07408,0.22861,0.04585,2.32131,0.08224,0.12254,0.03043
