risk_budget,reference,comparison,paired_success_diff,ci95_success_diff,paired_fixture_accuracy_diff,paired_parameter_error_reduction,paired_force_violation_reduction,paired_damage_reduction,paired_repeated_failure_reduction,paired_efficiency_diff,reference_better_seeds,seeds
0.08,latent_fixture_inference_v5,adaptive_probe_then_act,-0.43750,0.15356,-0.23438,-0.07839,-0.42188,-0.28125,-0.25000,-0.30102,0,8
0.08,latent_fixture_inference_v5,bayesian_fixture_belief,-0.18750,0.10353,-0.12500,0.05593,-0.23438,-0.17188,-0.09375,-0.14521,0,8
0.08,latent_fixture_inference_v5,calibrated_prototype_system_id,-0.26562,0.11748,-0.23438,-0.03683,-0.35938,-0.21875,-0.25000,-0.23108,0,8
0.08,latent_fixture_inference_v5,particle_filter_fixture,-0.25000,0.12250,-0.14062,0.03575,-0.32812,-0.18750,-0.17188,-0.19308,0,8
0.08,latent_fixture_inference_v5,prototype_system_id,-0.29688,0.07936,-0.23438,-0.03784,-0.37500,-0.18750,-0.29688,-0.25472,0,8
0.08,latent_fixture_inference_v5,random_forest_probe_classifier,-0.31250,0.11341,-0.21875,-0.02591,-0.35938,-0.17188,-0.23438,-0.24135,0,8
0.08,latent_fixture_inference_v5,robust_impedance_planner,-0.17188,0.10288,-0.21875,0.06746,-0.26562,-0.06250,-0.07812,-0.12526,0,8
0.12,latent_fixture_inference_v5,adaptive_probe_then_act,-0.45312,0.17285,-0.21875,-0.07168,-0.43750,-0.21875,-0.26562,-0.30866,0,8
0.12,latent_fixture_inference_v5,bayesian_fixture_belief,-0.17188,0.15997,-0.14062,0.04770,-0.25000,-0.07812,-0.10938,-0.14004,1,8
0.12,latent_fixture_inference_v5,calibrated_prototype_system_id,-0.34375,0.07678,-0.21875,-0.02952,-0.35938,-0.18750,-0.31250,-0.27439,0,8
0.12,latent_fixture_inference_v5,particle_filter_fixture,-0.32812,0.06445,-0.14062,0.03525,-0.39062,-0.07812,-0.23438,-0.23378,0,8
0.12,latent_fixture_inference_v5,prototype_system_id,-0.23438,0.11748,-0.21875,-0.03053,-0.39062,-0.10938,-0.23438,-0.20954,0,8
0.12,latent_fixture_inference_v5,random_forest_probe_classifier,-0.28125,0.18949,-0.21875,-0.02706,-0.39062,-0.15625,-0.20312,-0.22369,1,8
0.12,latent_fixture_inference_v5,robust_impedance_planner,-0.15625,0.13696,-0.20312,0.07464,-0.21875,-0.03125,-0.12500,-0.12116,1,8
0.18,latent_fixture_inference_v5,adaptive_probe_then_act,-0.35938,0.11748,-0.21875,-0.07081,-0.25000,-0.21875,-0.21875,-0.25577,0,8
0.18,latent_fixture_inference_v5,bayesian_fixture_belief,-0.21875,0.11103,-0.12500,0.05553,-0.20312,-0.14062,-0.12500,-0.16216,0,8
0.18,latent_fixture_inference_v5,calibrated_prototype_system_id,-0.37500,0.14642,-0.21875,-0.02984,-0.23438,-0.29688,-0.26562,-0.27432,0,8
0.18,latent_fixture_inference_v5,particle_filter_fixture,-0.26562,0.09753,-0.17188,0.01977,-0.21875,-0.10938,-0.28125,-0.22337,0,8
0.18,latent_fixture_inference_v5,prototype_system_id,-0.23438,0.12627,-0.20312,-0.01929,-0.18750,-0.20312,-0.17188,-0.19321,0,8
0.18,latent_fixture_inference_v5,random_forest_probe_classifier,-0.23438,0.14224,-0.18750,-0.00766,-0.17188,-0.20312,-0.17188,-0.19281,0,8
0.18,latent_fixture_inference_v5,robust_impedance_planner,-0.18750,0.13890,-0.23438,0.05808,-0.14062,-0.10938,-0.14062,-0.14218,1,8
0.25,latent_fixture_inference_v5,adaptive_probe_then_act,-0.50000,0.08020,-0.26562,-0.09243,-0.53125,-0.35938,-0.32812,-0.35363,0,8
0.25,latent_fixture_inference_v5,bayesian_fixture_belief,-0.37500,0.13890,-0.15625,0.03956,-0.42188,-0.28125,-0.20312,-0.25226,0,8
0.25,latent_fixture_inference_v5,calibrated_prototype_system_id,-0.39062,0.16973,-0.26562,-0.05300,-0.45312,-0.25000,-0.34375,-0.30703,0,8
0.25,latent_fixture_inference_v5,particle_filter_fixture,-0.31250,0.10353,-0.15625,0.02715,-0.46875,-0.25000,-0.15625,-0.22211,0,8
0.25,latent_fixture_inference_v5,prototype_system_id,-0.42188,0.15313,-0.26562,-0.05535,-0.53125,-0.35938,-0.25000,-0.30215,0,8
0.25,latent_fixture_inference_v5,random_forest_probe_classifier,-0.34375,0.12890,-0.20312,-0.01588,-0.43750,-0.29688,-0.21875,-0.25496,0,8
0.25,latent_fixture_inference_v5,robust_impedance_planner,-0.31250,0.13890,-0.26562,0.04078,-0.32812,-0.17188,-0.23438,-0.22306,0,8
