seed,scenario,layout_id,split,method,fixture_type,visible_hint,estimated_fixture,action,confidence,fixture_correct,parameter_error,success,first_attempt_success,repeated_failure,force_violation,damage,path_efficiency,energy,predicted_success,calibration_brier,stress_level,prob_free,prob_clamp,prob_hinge,prob_slot,prob_suction,prob_tether
0,0,nominal_visible_fixture_0_0_free,nominal_visible_fixture,visible_only_policy,free,unknown,free,direct_translate,0.42000,1,0.18000,0,0,1,0,0,0.18200,1.92757,0.69018,0.47635,0.00,0.42000,0.11600,0.11600,0.11600,0.11600,0.11600
0,0,nominal_visible_fixture_0_0_free,nominal_visible_fixture,force_threshold_heuristic,free,unknown,hinge,pivot_rotate,0.61812,0,0.90000,0,0,1,1,1,0.11000,2.65277,0.01786,0.00032,0.00,0.07638,0.07638,0.61812,0.07638,0.07638,0.07638
0,0,nominal_visible_fixture_0_0_free,nominal_visible_fixture,prototype_system_id,free,unknown,free,direct_translate,0.90608,1,0.25000,1,1,0,0,0,0.79500,1.71302,0.83057,0.02871,0.00,0.90608,0.00503,0.02454,0.01879,0.01077,0.03479
0,0,nominal_visible_fixture_0_0_free,nominal_visible_fixture,ensemble_uncertainty_planner,free,unknown,free,direct_translate,0.85610,1,0.30302,1,1,0,0,0,0.78970,1.71487,0.76498,0.05524,0.00,0.85610,0.00967,0.03553,0.03027,0.01804,0.05039
0,0,nominal_visible_fixture_0_0_free,nominal_visible_fixture,particle_filter_fixture,free,unknown,free,direct_translate,0.62226,1,0.28000,1,1,0,0,0,0.79200,1.71407,0.74579,0.06462,0.00,0.62226,0.05796,0.15925,0.05952,0.04779,0.05321
0,0,nominal_visible_fixture_0_0_free,nominal_visible_fixture,latent_fixture_inference,free,unknown,free,direct_translate,0.34265,1,0.11000,1,1,0,0,0,0.80900,1.70812,0.79962,0.04015,0.00,0.34265,0.10532,0.28312,0.10226,0.08433,0.08232
0,0,nominal_visible_fixture_0_0_free,nominal_visible_fixture,oracle_fixture,free,unknown,free,direct_translate,1.00000,1,0.00000,1,1,0,0,0,0.82000,1.70427,0.98000,0.00040,0.00,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0,1,nominal_visible_fixture_0_1_clamp,nominal_visible_fixture,visible_only_policy,clamp,clamp,clamp,release_clamp_pull,0.62000,1,0.18000,0,0,1,0,0,0.18200,1.86533,0.61122,0.37359,0.00,0.07600,0.62000,0.07600,0.07600,0.07600,0.07600
0,1,nominal_visible_fixture_0_1_clamp,nominal_visible_fixture,force_threshold_heuristic,clamp,clamp,suction,peel_then_translate,0.76193,0,0.90000,0,0,1,1,1,0.00000,2.62903,0.01867,0.00035,0.00,0.04761,0.04761,0.04761,0.04761,0.76193,0.04761
0,1,nominal_visible_fixture_0_1_clamp,nominal_visible_fixture,prototype_system_id,clamp,clamp,clamp,release_clamp_pull,0.72619,1,0.25000,0,0,1,0,0,0.17500,1.86778,0.65834,0.43341,0.00,0.00125,0.72619,0.01807,0.01041,0.13734,0.10674
