method,split,seed,episodes,success,fixture_correct,parameter_error,force_violation,damage,repeated_failure,path_efficiency,energy,calibration_brier,tail_risk
latent_fixture_v5_full,combined_fixture_stress,0,10,0.50000,0.80000,0.27305,0.40000,0.40000,0.50000,0.37470,2.27326,0.25960,0.50000
latent_fixture_v5_full,combined_fixture_stress,1,10,0.70000,0.70000,0.32223,0.30000,0.00000,0.30000,0.51778,2.15438,0.11062,0.30000
latent_fixture_v5_full,combined_fixture_stress,2,10,0.60000,0.80000,0.27145,0.20000,0.30000,0.40000,0.47286,2.07718,0.14556,0.40000
latent_fixture_v5_full,combined_fixture_stress,3,10,0.50000,0.80000,0.27342,0.30000,0.40000,0.50000,0.38666,2.16237,0.12660,0.50000
latent_fixture_v5_full,combined_fixture_stress,4,10,0.60000,0.70000,0.32373,0.40000,0.20000,0.40000,0.44363,2.26444,0.20538,0.40000
latent_fixture_v5_full,combined_fixture_stress,5,10,0.50000,0.80000,0.27579,0.40000,0.50000,0.50000,0.37442,2.29595,0.22894,0.50000
latent_fixture_v5_full,combined_fixture_stress,6,10,0.70000,0.80000,0.27260,0.40000,0.50000,0.30000,0.51074,2.21832,0.14647,0.30000
latent_fixture_v5_full,combined_fixture_stress,7,10,0.40000,0.70000,0.32313,0.40000,0.30000,0.60000,0.31969,2.29454,0.13877,0.60000
latent_fixture_v5_no_adaptive_probe,combined_fixture_stress,0,10,0.80000,0.80000,0.27122,0.20000,0.10000,0.20000,0.59688,2.05549,0.08246,0.20000
latent_fixture_v5_no_adaptive_probe,combined_fixture_stress,1,10,0.70000,0.80000,0.27251,0.10000,0.00000,0.30000,0.55875,2.00004,0.10406,0.30000
latent_fixture_v5_no_adaptive_probe,combined_fixture_stress,2,10,0.50000,0.80000,0.26955,0.20000,0.00000,0.50000,0.42305,2.09461,0.20023,0.50000
latent_fixture_v5_no_adaptive_probe,combined_fixture_stress,3,10,0.90000,0.90000,0.22388,0.00000,0.00000,0.10000,0.67561,1.85124,0.09832,0.10000
latent_fixture_v5_no_adaptive_probe,combined_fixture_stress,4,10,0.70000,0.70000,0.32216,0.00000,0.00000,0.30000,0.55378,1.94589,0.07324,0.30000
latent_fixture_v5_no_adaptive_probe,combined_fixture_stress,5,10,0.70000,0.80000,0.27429,0.10000,0.10000,0.30000,0.55857,2.02149,0.13047,0.30000
latent_fixture_v5_no_adaptive_probe,combined_fixture_stress,6,10,0.70000,0.90000,0.22314,0.10000,0.10000,0.30000,0.55169,1.99398,0.17370,0.30000
latent_fixture_v5_no_adaptive_probe,combined_fixture_stress,7,10,0.60000,0.80000,0.27355,0.20000,0.10000,0.40000,0.49665,2.09261,0.14705,0.40000
latent_fixture_v5_no_calibration,combined_fixture_stress,0,10,0.50000,0.80000,0.31895,0.30000,0.00000,0.50000,0.40611,2.19226,0.24111,0.50000
latent_fixture_v5_no_calibration,combined_fixture_stress,1,10,0.80000,0.80000,0.32052,0.20000,0.00000,0.20000,0.61595,2.05002,0.08197,0.20000
latent_fixture_v5_no_calibration,combined_fixture_stress,2,10,0.60000,0.80000,0.31730,0.20000,0.10000,0.40000,0.48027,2.07458,0.13876,0.40000
latent_fixture_v5_no_calibration,combined_fixture_stress,3,10,0.60000,0.80000,0.31944,0.00000,0.40000,0.40000,0.46806,1.92389,0.18158,0.40000
latent_fixture_v5_no_calibration,combined_fixture_stress,4,10,0.50000,0.70000,0.37057,0.20000,0.20000,0.50000,0.41295,2.13518,0.20296,0.50000
latent_fixture_v5_no_calibration,combined_fixture_stress,5,10,0.80000,0.80000,0.32235,0.20000,0.00000,0.20000,0.57977,2.08408,0.30852,0.20000
latent_fixture_v5_no_calibration,combined_fixture_stress,6,10,0.90000,0.90000,0.27078,0.10000,0.10000,0.10000,0.65892,1.95645,0.15492,0.10000
latent_fixture_v5_no_calibration,combined_fixture_stress,7,10,0.60000,0.70000,0.36985,0.20000,0.10000,0.40000,0.47501,2.10018,0.17987,0.40000
latent_fixture_v5_no_compliance_anisotropy,combined_fixture_stress,0,10,0.40000,0.70000,0.39128,0.50000,0.30000,0.60000,0.31287,2.36490,0.14008,0.60000
latent_fixture_v5_no_compliance_anisotropy,combined_fixture_stress,1,10,0.30000,0.60000,0.44182,0.30000,0.30000,0.70000,0.26982,2.24117,0.16049,0.70000
latent_fixture_v5_no_compliance_anisotropy,combined_fixture_stress,2,10,0.40000,0.70000,0.38990,0.30000,0.00000,0.60000,0.33701,2.19473,0.12569,0.60000
latent_fixture_v5_no_compliance_anisotropy,combined_fixture_stress,3,10,0.40000,0.80000,0.34409,0.20000,0.20000,0.60000,0.31759,2.11655,0.14598,0.60000
latent_fixture_v5_no_compliance_anisotropy,combined_fixture_stress,4,10,0.40000,0.60000,0.44263,0.50000,0.40000,0.60000,0.30774,2.38201,0.15119,0.60000
latent_fixture_v5_no_compliance_anisotropy,combined_fixture_stress,5,10,0.60000,0.80000,0.34685,0.30000,0.30000,0.40000,0.41732,2.21094,0.25012,0.40000
