method,split,seed,episodes,success,fixture_correct,parameter_error,force_violation,damage,repeated_failure,path_efficiency,energy,calibration_brier,tail_risk
latent_fixture_v5_no_compliance_anisotropy,combined_fixture_stress,6,10,0.60000,0.70000,0.39125,0.30000,0.30000,0.40000,0.41288,2.18257,0.11775,0.40000
latent_fixture_v5_no_compliance_anisotropy,combined_fixture_stress,7,10,0.40000,0.60000,0.44156,0.50000,0.20000,0.60000,0.29585,2.37289,0.09155,0.60000
latent_fixture_v5_no_hysteresis_memory,combined_fixture_stress,0,10,0.60000,0.60000,0.43885,0.20000,0.40000,0.40000,0.44412,2.10896,0.08626,0.40000
latent_fixture_v5_no_hysteresis_memory,combined_fixture_stress,1,10,0.50000,0.70000,0.39192,0.30000,0.30000,0.50000,0.41081,2.19182,0.10558,0.50000
latent_fixture_v5_no_hysteresis_memory,combined_fixture_stress,2,10,0.50000,0.60000,0.43745,0.30000,0.10000,0.50000,0.39426,2.17469,0.12019,0.50000
latent_fixture_v5_no_hysteresis_memory,combined_fixture_stress,3,10,0.30000,0.60000,0.43918,0.30000,0.30000,0.70000,0.24608,2.21158,0.18203,0.70000
latent_fixture_v5_no_hysteresis_memory,combined_fixture_stress,4,10,0.60000,0.60000,0.44087,0.40000,0.40000,0.40000,0.44391,2.26435,0.17649,0.40000
latent_fixture_v5_no_hysteresis_memory,combined_fixture_stress,5,10,0.30000,0.50000,0.48774,0.30000,0.00000,0.70000,0.24123,2.27257,0.08493,0.70000
latent_fixture_v5_no_hysteresis_memory,combined_fixture_stress,6,10,0.50000,0.60000,0.43874,0.40000,0.20000,0.50000,0.38213,2.26333,0.05171,0.50000
latent_fixture_v5_no_hysteresis_memory,combined_fixture_stress,7,10,0.60000,0.60000,0.44099,0.40000,0.40000,0.40000,0.44390,2.25107,0.17692,0.40000
latent_fixture_v5_no_particle_refinement,combined_fixture_stress,0,10,0.40000,0.40000,0.46565,0.60000,0.10000,0.60000,0.29344,2.44170,0.14186,0.60000
latent_fixture_v5_no_particle_refinement,combined_fixture_stress,1,10,0.20000,0.20000,0.56388,0.20000,0.40000,0.80000,0.17161,2.20554,0.05395,0.80000
latent_fixture_v5_no_particle_refinement,combined_fixture_stress,2,10,0.30000,0.50000,0.41901,0.40000,0.10000,0.70000,0.24810,2.29584,0.12433,0.70000
latent_fixture_v5_no_particle_refinement,combined_fixture_stress,3,10,0.50000,0.40000,0.46624,0.30000,0.10000,0.50000,0.35538,2.17332,0.19819,0.50000
latent_fixture_v5_no_particle_refinement,combined_fixture_stress,4,10,0.40000,0.40000,0.46916,0.70000,0.50000,0.60000,0.31708,2.51873,0.20190,0.60000
latent_fixture_v5_no_particle_refinement,combined_fixture_stress,5,10,0.30000,0.30000,0.51383,0.50000,0.20000,0.70000,0.22662,2.41768,0.07886,0.70000
latent_fixture_v5_no_particle_refinement,combined_fixture_stress,6,10,0.40000,0.50000,0.41824,0.50000,0.20000,0.60000,0.31017,2.35851,0.25339,0.60000
latent_fixture_v5_no_particle_refinement,combined_fixture_stress,7,10,0.30000,0.30000,0.51578,0.60000,0.20000,0.70000,0.22642,2.46718,0.12726,0.70000
latent_fixture_v5_no_release_cues,combined_fixture_stress,0,10,0.50000,0.70000,0.39451,0.30000,0.50000,0.50000,0.37455,2.20331,0.19377,0.50000
latent_fixture_v5_no_release_cues,combined_fixture_stress,1,10,0.70000,0.80000,0.34532,0.20000,0.30000,0.30000,0.53947,2.07679,0.19580,0.30000
latent_fixture_v5_no_release_cues,combined_fixture_stress,2,10,0.50000,0.60000,0.44073,0.40000,0.10000,0.50000,0.39392,2.24480,0.07359,0.50000
latent_fixture_v5_no_release_cues,combined_fixture_stress,3,10,0.30000,0.70000,0.39415,0.30000,0.10000,0.70000,0.27459,2.20160,0.10879,0.70000
latent_fixture_v5_no_release_cues,combined_fixture_stress,4,10,0.60000,0.80000,0.34703,0.50000,0.60000,0.40000,0.47730,2.32266,0.24558,0.40000
latent_fixture_v5_no_release_cues,combined_fixture_stress,5,10,0.40000,0.60000,0.44341,0.80000,0.40000,0.60000,0.29566,2.60352,0.18169,0.60000
latent_fixture_v5_no_release_cues,combined_fixture_stress,6,10,0.60000,0.70000,0.39328,0.30000,0.00000,0.40000,0.47267,2.16164,0.07846,0.40000
latent_fixture_v5_no_release_cues,combined_fixture_stress,7,10,0.50000,0.80000,0.34665,0.20000,0.10000,0.50000,0.37934,2.13366,0.24744,0.50000
latent_fixture_v5_no_safety_margin,combined_fixture_stress,0,10,0.30000,0.80000,0.27305,0.80000,0.50000,0.70000,0.27469,2.58826,0.08674,0.70000
latent_fixture_v5_no_safety_margin,combined_fixture_stress,1,10,0.40000,0.70000,0.32223,0.70000,0.50000,0.60000,0.36778,2.48688,0.21069,0.60000
latent_fixture_v5_no_safety_margin,combined_fixture_stress,2,10,0.50000,0.80000,0.27145,0.60000,0.40000,0.50000,0.43486,2.37048,0.13356,0.50000
latent_fixture_v5_no_safety_margin,combined_fixture_stress,3,10,0.70000,0.80000,0.27342,0.50000,0.30000,0.30000,0.52266,2.25477,0.27205,0.30000
latent_fixture_v5_no_safety_margin,combined_fixture_stress,4,10,0.60000,0.70000,0.32373,0.70000,0.50000,0.40000,0.44363,2.47444,0.19660,0.40000
latent_fixture_v5_no_safety_margin,combined_fixture_stress,5,10,0.50000,0.80000,0.27579,0.70000,0.20000,0.50000,0.37442,2.50595,0.25377,0.50000
latent_fixture_v5_no_safety_margin,combined_fixture_stress,6,10,0.60000,0.80000,0.27260,0.30000,0.30000,0.40000,0.46074,2.16582,0.18605,0.40000
latent_fixture_v5_no_safety_margin,combined_fixture_stress,7,10,0.40000,0.70000,0.32313,0.60000,0.30000,0.60000,0.35569,2.42194,0.10242,0.60000
latent_fixture_v5_no_torque_features,combined_fixture_stress,0,10,0.40000,0.50000,0.49135,0.50000,0.50000,0.60000,0.29086,2.37260,0.16152,0.60000
latent_fixture_v5_no_torque_features,combined_fixture_stress,1,10,0.10000,0.10000,0.68125,0.50000,0.30000,0.90000,0.09788,2.44135,0.03447,0.90000
latent_fixture_v5_no_torque_features,combined_fixture_stress,2,10,0.20000,0.40000,0.53826,0.20000,0.10000,0.80000,0.17417,2.18172,0.09344,0.80000
latent_fixture_v5_no_torque_features,combined_fixture_stress,3,10,0.40000,0.40000,0.53798,0.30000,0.50000,0.60000,0.28620,2.19753,0.10984,0.60000
latent_fixture_v5_no_torque_features,combined_fixture_stress,4,10,0.30000,0.40000,0.54000,0.60000,0.50000,0.70000,0.23600,2.47711,0.13520,0.70000
latent_fixture_v5_no_torque_features,combined_fixture_stress,5,10,0.30000,0.40000,0.53944,0.50000,0.40000,0.70000,0.22406,2.41858,0.17418,0.70000
latent_fixture_v5_no_torque_features,combined_fixture_stress,6,10,0.30000,0.60000,0.44292,0.30000,0.30000,0.70000,0.23371,2.24528,0.13187,0.70000
latent_fixture_v5_no_torque_features,combined_fixture_stress,7,10,0.40000,0.40000,0.53977,0.30000,0.40000,0.60000,0.28602,2.23632,0.13979,0.60000
