seed,scenario,layout_id,split,method,fixture_type,visible_hint,estimated_fixture,action,confidence,fixture_correct,parameter_error,success,first_attempt_success,repeated_failure,force_violation,damage,path_efficiency,energy,predicted_success,calibration_brier,stress_level,prob_free,prob_clamp,prob_hinge,prob_slot,prob_suction,prob_tether,risk_budget,fixed_risk_score
0,12008,combined_fixture_stress_0_12008_clamp,combined_fixture_stress,prototype_system_id,clamp,unknown,clamp,release_clamp_pull,0.41279,1,0.25000,0,1,0,0,1,0.35775,1.90406,0.52884,0.22199,0.55,0.00648,0.41279,0.06900,0.03888,0.28190,0.19095,0.08,0.45000
0,12008,combined_fixture_stress_0_12008_clamp,combined_fixture_stress,calibrated_prototype_system_id,clamp,unknown,clamp,release_clamp_pull,0.42827,1,0.25500,0,1,0,1,0,0.35752,2.60424,0.55552,0.19756,0.55,0.02819,0.42827,0.06311,0.04355,0.26744,0.16944,0.08,0.55000
0,12008,combined_fixture_stress_0_12008_clamp,combined_fixture_stress,random_forest_probe_classifier,clamp,unknown,clamp,release_clamp_pull,0.51778,1,0.26858,0,0,1,0,1,0.07791,2.12171,0.57722,0.33319,0.55,0.00029,0.51778,0.00307,0.00289,0.39281,0.08318,0.08,0.45000
0,12008,combined_fixture_stress_0_12008_clamp,combined_fixture_stress,bayesian_fixture_belief,clamp,unknown,suction,peel_then_translate,0.27296,0,0.79000,0,0,1,1,0,0.00045,2.88196,0.01593,0.00025,0.55,0.10500,0.22128,0.11578,0.11179,0.27296,0.17320,0.08,0.55000
0,12008,combined_fixture_stress_0_12008_clamp,combined_fixture_stress,robust_impedance_planner,clamp,unknown,clamp,cautious_probe_pull,0.36700,1,0.34566,0,0,1,0,1,0.02044,2.16641,0.11042,0.01219,0.55,0.04166,0.36700,0.07578,0.05824,0.28123,0.17608,0.08,0.45000
0,12008,combined_fixture_stress_0_12008_clamp,combined_fixture_stress,adaptive_probe_then_act,clamp,unknown,clamp,release_clamp_pull,0.43804,1,0.22496,1,1,0,0,0,0.79750,1.90318,0.58178,0.17491,0.55,0.03641,0.43804,0.05587,0.04566,0.28407,0.13996,0.08,0.00000
0,12008,combined_fixture_stress_0_12008_clamp,combined_fixture_stress,particle_filter_fixture,clamp,unknown,suction,peel_then_translate,0.43311,0,0.78000,0,0,1,1,0,0.00090,2.88161,0.01683,0.00028,0.55,0.00260,0.33248,0.03912,0.02202,0.43311,0.17068,0.08,0.55000
0,12008,combined_fixture_stress_0_12008_clamp,combined_fixture_stress,latent_fixture_inference_v5,clamp,unknown,suction,peel_then_translate,0.44511,0,0.66000,0,0,1,1,0,0.00630,2.87741,0.01689,0.00029,0.55,0.03261,0.25873,0.05343,0.04488,0.44511,0.16525,0.08,0.55000
0,12009,combined_fixture_stress_0_12009_hinge,combined_fixture_stress,prototype_system_id,hinge,unknown,hinge,pivot_rotate,0.72790,1,0.25000,1,1,0,0,0,0.79500,2.04901,0.61240,0.15024,0.55,0.01100,0.04117,0.72790,0.07666,0.04214,0.10112,0.08,0.00000
0,12009,combined_fixture_stress_0_12009_hinge,combined_fixture_stress,calibrated_prototype_system_id,hinge,unknown,hinge,pivot_rotate,0.74687,1,0.25500,1,1,0,0,0,0.79450,2.04919,0.64240,0.12788,0.55,0.02927,0.04194,0.74687,0.06184,0.04243,0.07766,0.08,0.00000
