method,split,seeds,mean_success,ci95_success,mean_tail_risk,ci95_tail_risk,mean_fixture_correct,ci95_fixture_correct,mean_parameter_error,ci95_parameter_error,mean_force_violation,ci95_force_violation,mean_damage,ci95_damage,mean_repeated_failure,ci95_repeated_failure,mean_path_efficiency,ci95_path_efficiency,mean_energy,ci95_energy,mean_calibration_brier,ci95_calibration_brier
adaptive_probe_then_act,aggregate_hard_regime,8,0.85938,0.02137,0.14062,0.02137,0.98661,0.01281,0.20905,0.00627,0.01116,0.01134,0.02902,0.01470,0.14062,0.02137,0.68030,0.01279,1.79272,0.01186,0.12313,0.00927
bayesian_fixture_belief,aggregate_hard_regime,8,0.76562,0.04409,0.23438,0.04409,0.95089,0.01281,0.30101,0.00666,0.08482,0.03291,0.06920,0.01678,0.23438,0.04409,0.60843,0.02807,1.86944,0.02777,0.17993,0.01130
calibrated_prototype_system_id,aggregate_hard_regime,8,0.82143,0.03031,0.17857,0.03031,0.99107,0.00935,0.20482,0.00505,0.06920,0.02682,0.04688,0.02188,0.17857,0.03031,0.65827,0.02042,1.84106,0.01899,0.15276,0.01932
ensemble_uncertainty_planner,aggregate_hard_regime,8,0.70536,0.04437,0.29464,0.04437,0.99107,0.00935,0.33095,0.00511,0.05134,0.02990,0.04687,0.01742,0.29464,0.04437,0.57026,0.02801,1.85936,0.02537,0.19916,0.01678
force_threshold_heuristic,aggregate_hard_regime,8,0.30357,0.04950,0.69643,0.04950,0.39509,0.04603,0.68270,0.02532,0.45982,0.03085,0.33036,0.02646,0.69643,0.04950,0.28341,0.03171,2.24569,0.02651,0.08874,0.01365
latent_fixture_inference,aggregate_hard_regime,8,0.72991,0.02333,0.27009,0.02333,0.75223,0.01542,0.25123,0.00879,0.16071,0.03562,0.11384,0.01863,0.27009,0.02333,0.58403,0.01554,1.93110,0.02328,0.07011,0.01223
latent_fixture_inference_v5,aggregate_hard_regime,8,0.68304,0.02267,0.31696,0.02267,0.87277,0.02032,0.23729,0.00972,0.18750,0.05651,0.14509,0.02137,0.31696,0.02267,0.52957,0.01377,1.96891,0.03601,0.15909,0.02019
oracle_fixture,aggregate_hard_regime,8,0.91072,0.03172,0.08928,0.03172,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.02679,0.01323,0.08928,0.03172,0.73438,0.01980,1.76598,0.00721,0.07907,0.02620
particle_filter_fixture,aggregate_hard_regime,8,0.76562,0.04154,0.23438,0.04154,0.96429,0.01323,0.29786,0.00662,0.08036,0.02194,0.08929,0.02646,0.23438,0.04154,0.61035,0.02814,1.86564,0.02361,0.17464,0.01182
prototype_system_id,aggregate_hard_regime,8,0.78348,0.01804,0.21652,0.01804,0.99107,0.00935,0.25509,0.00533,0.06027,0.02188,0.06250,0.01750,0.21652,0.01804,0.62972,0.01262,1.84480,0.02102,0.17163,0.01064
random_forest_probe_classifier,aggregate_hard_regime,8,0.83036,0.02475,0.16964,0.02475,0.98214,0.01620,0.25674,0.00913,0.06920,0.02333,0.06473,0.01742,0.16964,0.02475,0.65754,0.01622,1.84131,0.02049,0.13830,0.00536
robust_impedance_planner,aggregate_hard_regime,8,0.83259,0.04127,0.16741,0.04127,0.98661,0.01281,0.33820,0.00660,0.03795,0.01921,0.03125,0.01586,0.16741,0.04127,0.64790,0.02744,1.82281,0.02231,0.14905,0.02002
visible_only_policy,aggregate_hard_regime,8,0.28125,0.04325,0.71875,0.04325,0.36607,0.02883,0.60473,0.01932,0.48214,0.03500,0.33036,0.03969,0.71875,0.04325,0.30058,0.02625,2.25531,0.03204,0.09095,0.01911
