method,stress_level,seeds,mean_success,ci95_success,mean_fixture_correct,ci95_fixture_correct,mean_force_violation,ci95_force_violation,mean_damage,ci95_damage,mean_repeated_failure,ci95_repeated_failure,mean_path_efficiency,ci95_path_efficiency
particle_filter_fixture,0.20,8,0.65625,0.10091,0.85938,0.03062,0.23438,0.08584,0.12500,0.09260,0.34375,0.10091,0.51559,0.06272
particle_filter_fixture,0.40,8,0.65625,0.10091,0.89062,0.05551,0.17188,0.06445,0.10938,0.07229,0.34375,0.10091,0.52091,0.06689
particle_filter_fixture,0.60,8,0.50000,0.09260,0.81250,0.08020,0.23438,0.09753,0.12500,0.08020,0.50000,0.09260,0.42012,0.04987
particle_filter_fixture,0.80,8,0.56250,0.11341,0.85938,0.05551,0.21875,0.10091,0.28125,0.12029,0.43750,0.11341,0.46309,0.07535
particle_filter_fixture,1.00,8,0.60938,0.12627,0.84375,0.08966,0.34375,0.13696,0.15625,0.13696,0.39062,0.12627,0.49888,0.08277
particle_filter_fixture,1.20,8,0.56250,0.10353,0.79688,0.04483,0.34375,0.11103,0.20312,0.10288,0.43750,0.10353,0.45434,0.06373
prototype_system_id,0.00,8,0.65625,0.15871,0.96875,0.04010,0.12500,0.06548,0.06250,0.06548,0.34375,0.15871,0.54263,0.10250
prototype_system_id,0.20,8,0.73438,0.11748,0.96875,0.04010,0.10938,0.09753,0.06250,0.04630,0.26562,0.11748,0.58359,0.07541
prototype_system_id,0.40,8,0.71875,0.08966,0.93750,0.06548,0.14062,0.07229,0.23438,0.12627,0.28125,0.08966,0.57031,0.05569
prototype_system_id,0.60,8,0.60938,0.11748,0.93750,0.04630,0.18750,0.12250,0.20312,0.10288,0.39062,0.11748,0.51363,0.07720
prototype_system_id,0.80,8,0.65625,0.08966,0.87500,0.06548,0.28125,0.13696,0.23438,0.13449,0.34375,0.08966,0.53547,0.05889
prototype_system_id,1.00,8,0.64062,0.14224,0.85938,0.09753,0.23438,0.09753,0.18750,0.11341,0.35938,0.14224,0.53239,0.09157
prototype_system_id,1.20,8,0.57812,0.17895,0.84375,0.10091,0.28125,0.10091,0.21875,0.06125,0.42188,0.17895,0.47784,0.11200
random_forest_probe_classifier,0.00,8,0.78125,0.15181,0.96875,0.04010,0.07812,0.04483,0.06250,0.06548,0.21875,0.15181,0.62009,0.10200
random_forest_probe_classifier,0.20,8,0.79688,0.07936,0.93750,0.06548,0.17188,0.07936,0.07812,0.06445,0.20312,0.07936,0.61868,0.05243
random_forest_probe_classifier,0.40,8,0.64062,0.10797,0.87500,0.06548,0.18750,0.09260,0.17188,0.06445,0.35938,0.10797,0.51246,0.06787
random_forest_probe_classifier,0.60,8,0.60938,0.10797,0.90625,0.04010,0.17188,0.11282,0.12500,0.06548,0.39062,0.10797,0.50392,0.07016
random_forest_probe_classifier,0.80,8,0.73438,0.12627,0.93750,0.06548,0.17188,0.07936,0.18750,0.06548,0.26562,0.12627,0.57933,0.07853
random_forest_probe_classifier,1.00,8,0.62500,0.15356,0.85938,0.07229,0.26562,0.12627,0.18750,0.06548,0.37500,0.15356,0.52007,0.09509
random_forest_probe_classifier,1.20,8,0.60938,0.10797,0.76562,0.10797,0.35938,0.09753,0.28125,0.11103,0.39062,0.10797,0.49230,0.06897
robust_impedance_planner,0.00,8,0.73438,0.08584,0.96875,0.04010,0.12500,0.04630,0.20312,0.12195,0.26562,0.08584,0.56734,0.05854
robust_impedance_planner,0.20,8,0.67188,0.04483,0.95312,0.04483,0.25000,0.09260,0.15625,0.10091,0.32812,0.04483,0.52009,0.02585
robust_impedance_planner,0.40,8,0.62500,0.10353,0.90625,0.06125,0.23438,0.11748,0.20312,0.07936,0.37500,0.10353,0.48875,0.06749
robust_impedance_planner,0.60,8,0.67188,0.11282,0.96875,0.04010,0.31250,0.08020,0.34375,0.10091,0.32812,0.11282,0.50515,0.06936
robust_impedance_planner,0.80,8,0.46875,0.10091,0.87500,0.08020,0.29688,0.16654,0.29688,0.11282,0.53125,0.10091,0.38206,0.06550
robust_impedance_planner,1.00,8,0.51562,0.10797,0.85938,0.09753,0.40625,0.12029,0.31250,0.08020,0.48438,0.10797,0.39718,0.07372
robust_impedance_planner,1.20,8,0.43750,0.10353,0.84375,0.10091,0.51562,0.07229,0.21875,0.11103,0.56250,0.10353,0.34985,0.06776
