method,stress_level,seeds,mean_success,ci95_success,mean_fixture_correct,ci95_fixture_correct,mean_force_violation,ci95_force_violation,mean_damage,ci95_damage,mean_repeated_failure,ci95_repeated_failure,mean_path_efficiency,ci95_path_efficiency
adaptive_probe_then_act,0.00,8,0.82812,0.07936,0.95312,0.04483,0.01562,0.03062,0.07812,0.06445,0.17188,0.07936,0.64913,0.05453
adaptive_probe_then_act,0.20,8,0.84375,0.12029,0.95312,0.04483,0.06250,0.06548,0.06250,0.06548,0.15625,0.12029,0.64929,0.07462
adaptive_probe_then_act,0.40,8,0.75000,0.12250,0.89062,0.05551,0.10938,0.07229,0.07812,0.04483,0.25000,0.12250,0.58604,0.08134
adaptive_probe_then_act,0.60,8,0.67188,0.13045,0.96875,0.04010,0.10938,0.07229,0.12500,0.06548,0.32812,0.13045,0.54476,0.07763
adaptive_probe_then_act,0.80,8,0.73438,0.09753,0.92188,0.06445,0.14062,0.05551,0.06250,0.04630,0.26562,0.09753,0.57559,0.06353
adaptive_probe_then_act,1.00,8,0.65625,0.07678,0.85938,0.05551,0.20312,0.10288,0.21875,0.12029,0.34375,0.07678,0.52958,0.05799
adaptive_probe_then_act,1.20,8,0.59375,0.17169,0.81250,0.10353,0.23438,0.07229,0.20312,0.09187,0.40625,0.17169,0.47923,0.11300
bayesian_fixture_belief,0.00,8,0.71875,0.08966,0.90625,0.06125,0.14062,0.05551,0.17188,0.06445,0.28125,0.08966,0.56294,0.05853
bayesian_fixture_belief,0.20,8,0.64062,0.08584,0.82812,0.04483,0.23438,0.05551,0.17188,0.06445,0.35938,0.08584,0.50499,0.05274
bayesian_fixture_belief,0.40,8,0.57812,0.12195,0.82812,0.07936,0.20312,0.11282,0.12500,0.08020,0.42188,0.12195,0.47186,0.07759
bayesian_fixture_belief,0.60,8,0.54688,0.09187,0.84375,0.07678,0.20312,0.12195,0.25000,0.10353,0.45312,0.09187,0.44577,0.05998
bayesian_fixture_belief,0.80,8,0.64062,0.21437,0.84375,0.08966,0.17188,0.09187,0.25000,0.10353,0.35938,0.21437,0.50577,0.13613
bayesian_fixture_belief,1.00,8,0.50000,0.11341,0.79688,0.12195,0.34375,0.11103,0.23438,0.11748,0.50000,0.11341,0.42187,0.07772
bayesian_fixture_belief,1.20,8,0.45312,0.14596,0.75000,0.04630,0.31250,0.06548,0.34375,0.08966,0.54688,0.14596,0.37735,0.08946
calibrated_prototype_system_id,0.00,8,0.79688,0.12195,0.96875,0.04010,0.10938,0.05551,0.04688,0.04483,0.20312,0.12195,0.63488,0.07597
calibrated_prototype_system_id,0.20,8,0.85938,0.05551,0.96875,0.04010,0.10938,0.09753,0.04688,0.04483,0.14062,0.05551,0.66419,0.03318
calibrated_prototype_system_id,0.40,8,0.67188,0.11282,0.93750,0.06548,0.14062,0.05551,0.09375,0.07678,0.32812,0.11282,0.54256,0.07291
calibrated_prototype_system_id,0.60,8,0.70312,0.13842,0.95312,0.04483,0.15625,0.06125,0.12500,0.06548,0.29688,0.13842,0.57019,0.08235
calibrated_prototype_system_id,0.80,8,0.65625,0.15871,0.87500,0.06548,0.21875,0.07678,0.20312,0.07936,0.34375,0.15871,0.53375,0.10094
calibrated_prototype_system_id,1.00,8,0.59375,0.08966,0.84375,0.11103,0.34375,0.13696,0.20312,0.12195,0.40625,0.08966,0.49750,0.05722
calibrated_prototype_system_id,1.20,8,0.64062,0.11748,0.84375,0.10091,0.34375,0.12890,0.17188,0.10288,0.35938,0.11748,0.51175,0.07447
ensemble_uncertainty_planner,0.00,8,0.60938,0.10797,0.96875,0.04010,0.17188,0.04483,0.14062,0.08584,0.39062,0.10797,0.48773,0.06980
ensemble_uncertainty_planner,0.20,8,0.54688,0.15313,0.96875,0.04010,0.23438,0.08584,0.17188,0.10288,0.45312,0.15313,0.44861,0.09775
ensemble_uncertainty_planner,0.40,8,0.46875,0.14457,0.93750,0.06548,0.31250,0.08020,0.21875,0.06125,0.53125,0.14457,0.39267,0.09656
ensemble_uncertainty_planner,0.60,8,0.54688,0.11282,0.95312,0.04483,0.39062,0.05551,0.26562,0.07229,0.45312,0.11282,0.42622,0.07276
ensemble_uncertainty_planner,0.80,8,0.45312,0.10288,0.87500,0.06548,0.37500,0.06548,0.25000,0.13096,0.54688,0.10288,0.37413,0.06856
ensemble_uncertainty_planner,1.00,8,0.37500,0.08020,0.85938,0.09753,0.53125,0.12029,0.35938,0.13449,0.62500,0.08020,0.31315,0.05968
ensemble_uncertainty_planner,1.20,8,0.45312,0.11282,0.84375,0.08966,0.60938,0.05551,0.31250,0.06548,0.54688,0.11282,0.36293,0.07379
latent_fixture_inference_v5,0.00,8,0.59375,0.08966,0.78125,0.07678,0.42188,0.10288,0.31250,0.08020,0.40625,0.08966,0.43668,0.05978
latent_fixture_inference_v5,0.20,8,0.54688,0.04483,0.73438,0.08584,0.45312,0.07936,0.34375,0.12029,0.45312,0.04483,0.40161,0.03043
latent_fixture_inference_v5,0.40,8,0.40625,0.10091,0.67188,0.04483,0.48438,0.08584,0.40625,0.08966,0.59375,0.10091,0.31129,0.06706
latent_fixture_inference_v5,0.60,8,0.35938,0.08584,0.67188,0.11282,0.53125,0.07678,0.40625,0.08966,0.64062,0.08584,0.27469,0.05929
latent_fixture_inference_v5,0.80,8,0.48438,0.11748,0.75000,0.09260,0.59375,0.08966,0.37500,0.06548,0.51562,0.11748,0.35207,0.07664
latent_fixture_inference_v5,1.00,8,0.34375,0.08966,0.60938,0.09753,0.57812,0.04483,0.43750,0.12250,0.65625,0.08966,0.26183,0.05635
latent_fixture_inference_v5,1.20,8,0.40625,0.12029,0.54688,0.09187,0.62500,0.11341,0.53125,0.15181,0.59375,0.12029,0.29955,0.07750
oracle_fixture,0.00,8,0.84375,0.11103,1.00000,0.00000,0.00000,0.00000,0.03125,0.04010,0.15625,0.11103,0.68563,0.07287
oracle_fixture,0.20,8,0.84375,0.11103,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.15625,0.11103,0.68188,0.06958
oracle_fixture,0.40,8,0.82812,0.06445,1.00000,0.00000,0.00000,0.00000,0.03125,0.06125,0.17188,0.06445,0.67406,0.04249
oracle_fixture,0.60,8,0.85938,0.09753,1.00000,0.00000,0.00000,0.00000,0.01562,0.03062,0.14062,0.09753,0.69531,0.06563
oracle_fixture,0.80,8,0.87500,0.06548,1.00000,0.00000,0.00000,0.00000,0.03125,0.04010,0.12500,0.06548,0.70125,0.04088
oracle_fixture,1.00,8,0.81250,0.06548,1.00000,0.00000,0.00000,0.00000,0.03125,0.04010,0.18750,0.06548,0.66625,0.04172
oracle_fixture,1.20,8,0.82812,0.06445,1.00000,0.00000,0.04688,0.04483,0.04688,0.06445,0.17188,0.06445,0.67594,0.04206
particle_filter_fixture,0.00,8,0.73438,0.10797,0.90625,0.04010,0.12500,0.09260,0.12500,0.00000,0.26562,0.10797,0.57387,0.06435
